ID,Time,Knowledge,Resources,InnovationScore,Fitness
1,1,10.0,5.0,0.0,15.0
2,1,8.0,3.0,0.0,11.0
3,1,10.0,5.0,0.0,15.0
1,2,10.0,5.0,0.0,15.0
2,2,8.0,3.0,0.0,11.0
3,2,10.0,5.0,0.0,15.0
1,3,10.0,5.57,0.0,15.57
2,3,8.0,2.43,0.0,10.43
3,3,10.0,5.0,0.0,15.0
1,4,10.0,5.57,1.0,16.57
2,4,8.0,2.43,0.0,10.43
3,4,10.0,5.0,0.0,15.0
1,5,10.0,5.57,1.8025403488512637,17.372540348851263
2,5,8.0,2.43,0.4760529743784898,10.90605297437849
3,5,10.0,5.0,0.02932894540412534,15.029328945404126
1,6,10.0,6.031700000000001,1.8025403488512637,17.834240348851264
2,6,8.0,1.9683000000000002,0.4760529743784898,10.44435297437849
3,6,10.0,5.0,0.02932894540412534,15.029328945404126
1,7,10.0,6.031700000000001,1.8025403488512637,17.834240348851264
2,7,8.0,1.9683000000000002,0.4760529743784898,10.44435297437849
3,7,10.0,5.0,0.02932894540412534,15.029328945404126
1,8,10.0,6.031700000000001,2.802540348851264,18.834240348851264
2,8,8.0,1.9683000000000002,0.4760529743784898,10.44435297437849
3,8,10.0,5.0,0.02932894540412534,15.029328945404126
1,9,10.0,6.405677000000001,2.802540348851264,19.208217348851264
2,9,8.0,1.5943230000000002,0.4760529743784898,10.07037597437849
3,9,10.0,5.0,0.02932894540412534,15.029328945404126
1,10,10.0,6.405677000000001,2.981744725952115,19.387421725952116
2,10,8.0,1.5943230000000002,0.48981424167201115,10.08413724167201
3,10,10.0,5.0,1.0101521829489464,16.010152182948946
1,11,10.0,6.405677000000001,2.981744725952115,19.387421725952116
2,11,8.0,1.5943230000000002,0.48981424167201115,10.08413724167201
3,11,10.0,5.0,1.0101521829489464,16.010152182948946
1,12,10.0,6.708598370000001,3.981744725952115,20.690343095952116
2,12,8.0,1.2914016300000002,0.48981424167201115,9.78121587167201
3,12,10.0,5.0,1.0101521829489464,16.010152182948946
1,13,10.0,6.708598370000001,3.981744725952115,20.690343095952116
2,13,8.0,1.2914016300000002,0.48981424167201115,9.78121587167201
3,13,10.0,5.0,1.0101521829489464,16.010152182948946
